question,summary_answer,difficulty,intent,relevant_lines,filename
create Dataset object in Evidently,You can create a Dataset object by utilizing `Dataset.from_pandas` along with a `DataDefinition` object to specify column mappings.,beginner,code,lines 23-29,docs/library/data_definition.mdx
Column types in DataDefinition,"Column types in DataDefinition can include categorical, numerical, and text types, which help in determining appropriate evaluations and statistics.",beginner,text,lines 3-4,docs/library/data_definition.mdx
manually setting DataDefinition,You can manually set the `DataDefinition` to map the data types accurately for different column roles in your dataset.,intermediate,code,lines 37-37,docs/library/data_definition.mdx
import datasets from pandas,"To import datasets from a pandas DataFrame, you need to include `from evidently import Dataset` in your imports.",beginner,code,lines 10-14,docs/library/data_definition.mdx
automatically map data columns,"Evidently can automatically map data columns using an empty `DataDefinition()`, matching column types and names to their respective roles.",intermediate,code,lines 32-35,docs/library/data_definition.mdx
ID and timestamp in DataDefinition,You can specify ID and timestamp columns in DataDefinition to enhance data mapping and avoid confusion in evaluations.,intermediate,code,lines 115-121,docs/library/data_definition.mdx
mapping text columns for LLM evaluation,"To map text columns for LLM evaluation, define them in the `DataDefinition` specifically under `text_columns` for better processing.",beginner,code,lines 59-61,docs/library/data_definition.mdx
evaluation quality checks in regression,"In regression checks, you must map target and prediction columns to evaluate the quality of the models correctly.",intermediate,code,lines 151-156,docs/library/data_definition.mdx
difference between timestamp and datetime_columns,"Timestamp refers to the role of a column indicating the time of data input, while datetime_columns refers to the data type and can have many instances in a dataset.",advanced,text,lines 130-132,docs/library/data_definition.mdx
best practices for data mapping,Explicit data mapping is recommended to avoid misclassifying column types and to ensure that necessary evaluations can be performed correctly.,intermediate,text,lines 96-99,docs/library/data_definition.mdx
define categorical_columns in DataDefinition,"To define categorical columns in DataDefinition, specify them directly in your mapping to enhance the clarity and accuracy of evaluations.",beginner,code,lines 86-87,docs/library/data_definition.mdx
evaluating text data with descriptors,"The article explains how to use Descriptors as a universal interface for evaluating text data, including LLM inputs and outputs.",beginner,text,1-1,docs/library/descriptors.mdx
how to create custom descriptors,"You can create custom descriptors using LLM prompts or Python, allowing for tailored evaluations of text data.",beginner,code,3-3,docs/library/descriptors.mdx
sample code for generating toy data,The article provides a Python code snippet to create sample data that can be used for testing text evaluations.,beginner,code,9-13,docs/library/descriptors.mdx
adding descriptors to dataset,"It outlines two options for adding descriptors to a Dataset object, either during creation or afterward, with example code for both methods.",intermediate,code,56-70,docs/library/descriptors.mdx
using sentiment descriptor,The article includes examples of incorporating a sentiment descriptor to evaluate the sentiment of text responses.,intermediate,code,66-66,docs/library/descriptors.mdx
