question,reference_answer,line_number_start,line_number_end,question_type,filename
"I can't figure out how to create a Dataset object, is there an example?","To create a Dataset object, use `Dataset.from_pandas` with `data_definition`: 
```python
 eval_data = Dataset.from_pandas(
     source_df,
     data_definition=DataDefinition()
 )
```",23,29,frustrated_beginner,docs/library/data_definition.mdx
python create Dataset object,"To create a Dataset object, use `Dataset.from_pandas` with `data_definition`: 
```python
 eval_data = Dataset.from_pandas(
     source_df,
     data_definition=DataDefinition()
 )
```",23,29,hurried_developer,docs/library/data_definition.mdx
"It says I can map columns automatically, how do I do that?","To map columns automatically, pass an empty `DataDefinition()`. Evidently will map columns: 
- By type (numerical, categorical).
- By matching column names to roles (e.g., a column 'target' treated as target).",32,37,context_assumer,docs/library/data_definition.mdx
Can I exclude certain columns in mapping?,"If you **exclude** certain columns in mapping, they’ll be ignored in all evaluations.",99,99,direct_inquirer,docs/library/data_definition.mdx
"I keep getting errors about missing columns, what do I need?","You must create a `Dataset` object with a `DataDefinition`, which maps: 
- **Column types** (e.g., categorical, numerical, text).
- **Column roles** (e.g., id, prediction, target).",1,6,frustrated_beginner,docs/library/data_definition.mdx
dtype mapping options,"You only need to use the relevant ones that apply for your evaluation scenario. For example, you don’t need columns like target/prediction to run data quality or LLM checks.",51,53,hurried_developer,docs/library/data_definition.mdx
How to manually set the data definition?,"To set the data definition manually, you can use options such as specifying `text_columns`, `numerical_columns`, `categorical_columns`, and `datetime_columns` within the `DataDefinition` object.",40,40,context_assumer,docs/library/data_definition.mdx
What happens if I forget to map the columns?,"If you do not pass explicit mapping, default column types will apply based on the data in your dataset, which may lead to incorrect interpretations of your data.",104,111,direct_inquirer,docs/library/data_definition.mdx
"I'm confused about target and prediction in regression checks, can you clarify?","To run regression quality checks, you must map the columns with: 
- Target: actual values.
- Prediction: predicted values.",151,154,frustrated_beginner,docs/library/data_definition.mdx
mapping options for BinaryClassification,"For BinaryClassification, you must map the columns with: 
- Target: true label.
- Prediction: predicted labels/probabilities.",175,178,direct_inquirer,docs/library/data_definition.mdx
"I read I have to map user_id and item_id for Recsys evaluation, how?","To evaluate recommender systems performance, you must map the columns with: 
- Prediction: this could be predicted score or rank.
- Target: relevance labels.",240,243,context_assumer,docs/library/data_definition.mdx
"I can't see where to download the nltk dictionaries, how do I do that?","You can download the nltk dictionaries using the following commands: 
```python
nltk.download('words')
nltk.download('wordnet')
nltk.download('omw-1.4')
nltk.download('vader_lexicon')
```",47,54,frustrated_beginner,docs/library/descriptors.mdx
"I'm confused about how to add my input data, what do I need to do?","Get your data in a table like a `pandas.DataFrame`. More on [data requirements](/docs/library/overview#dataset). You can also [load data](/docs/platform/datasets_workflow) from Evidently Platform, like tracing data you captured or synthetic datasets.",9,9,frustrated_beginner,docs/library/evaluations_overview.mdx
I don't see how to check for missing values in my dataset. Can you explain?,"You can use the **RowsWithMissingValuesCount()** metric to count rows with missing values in your dataset. This is a dataset-level metric that counts the rows with missing values and gives you the metric result as `value`. To use it, you don't need any specific parameters, but you may set test conditions if required.",17,17,frustrated_beginner,docs/library/leftover_content.mdx
"I'm trying to apply a metric to all columns, how do I do that?","You can apply the selected metric to all columns in the dataset by using the `ColumnMetricGenerator` with the desired metric, like this: `report = Report([ColumnMetricGenerator(ValueDrift)])`. Then run the evaluation using `my_eval = report.run(eval_data_1, eval_data_2)` to get the results.",51,58,frustrated_beginner,docs/library/metric_generator.mdx
"I need to know how to save my report as HTML, can you help?",You can also save this interactive visual Report as an HTML file to open in a browser: my_report.save_html(“file.html”). This option is useful for sharing Reports with others or if you're working in a Python environment that doesn’t display interactive visuals.,33,39,frustrated_beginner,docs/library/output_formats.mdx
I want to see the metrics but I can’t find how to export them in JSON or DataFrame format. Where do I do that?,"You can get evaluation results in multiple formats: - **Export scores** as JSON or Python dictionary. - **As a DataFrame**, either as a raw metrics table or by attaching scores to existing data rows.",31,35,frustrated_beginner,docs/library/overview.mdx
metrics export formats,"You can get evaluation results in multiple formats: - **Export scores** as JSON or Python dictionary. - **As a DataFrame**, either as a raw metrics table or by attaching scores to existing data rows.",31,35,hurried_developer,docs/library/overview.mdx
It mentions I can use configurable templates for custom evaluations. How do I set those up?,"Evidently’s core capability is running evaluations on AI system inputs and outputs. It includes 100+ built-in metrics and checks, and also useful configurable templates for custom evaluations.",15,15,context_assumer,docs/library/overview.mdx
