question,llm_answer,human_label,human_comment,llm_label,llm_reasoning
How do I set up LLM as a judge?,"To set up an LLM as a judge for evaluating outputs, follow these steps:

### 1. Required Installations
First, use the package manager to install Evidently:
```python
uv add evidently
```

Then, import the necessary modules:
```python
import pandas as pd
import numpy as np
from evidently import Dataset
from evidently import DataDefinition
from evidently import Report
from evidently.llm.templates import BinaryClassificationPromptTemplate
```

### 2. Set Your OpenAI API Key
Set your OpenAI API key as an environment variable:
```python
import os
os.environ[""OPENAI_API_KEY""] = ""YOUR_KEY""
```

### 3. Create Your Dataset
You need a dataset that includes:
- **Questions** (inputs sent to the LLM).
- **Target Responses** (approved correct responses).
- **New Responses** (to be evaluated).
- **Manual Labels** (indicating correctness).

Here's how to create a toy dataset:
```python
data = [
    [""Question 1"", ""Correct response 1"", ""New response 1"", ""correct""],
    [""Question 2"", ""Correct response 2"", ""New response 2"", ""incorrect""],
]

columns = [""question"", ""target_response"", ""new_response"", ""label""]

golden_dataset = pd.DataFrame(data, columns=columns)
```

### 4. Define Data Structure
Create a DataDefinition object to map column types:
```python
definition = DataDefinition(
    text_columns=[""question"", ""target_response"", ""new_response""],
    categorical_columns=[""label""]
)

eval_dataset = Dataset.from_pandas(golden_dataset, data_definition=definition)
```

### 5. Configure the LLM Judging Prompt
Set up the prompt template for the LLM judge:
```python
correctness = BinaryClassificationPromptTemplate(
    criteria=""An ANSWER is correct when it matches the REFERENCE in all facts."",
    target_category=""incorrect"",
    non_target_category=""correct"",
    pre_messages=[(""system"", ""You are an expert evaluator. You will evaluate the responses."")],
)
```

### 6. Score Responses
Add the LLM evaluator to your dataset:
```python
eval_dataset.add_descriptors(descriptors=[
    LLMEval(
        ""new_response"",
        template=correctness,
        provider=""openai"",
        model=""gpt-4o-mini"",
        alias=""Correctness"",
        additional_columns={""target_response"": ""target_response""},
    ),
])
```

### 7. Generate a Report
Finally, generate a report to view the evaluation results:
```python
report = Report([
    TextEvals(),
])

my_eval = report.run(eval_dataset, None)
```

### Conclusion
This setup allows the LLM to evaluate the correctness of new responses against target responses, and you can also refine prompts and add descriptive analyses based on your dataset's needs. Use the **Evidently Cloud** to track your evaluations if needed. For more details, refer to the [LLM judges documentation](https://www.evidentlyai.com/docs/platform/evals_no_code).",good,This looks correct and follows all rules.,bad,"1. The response accurately provides detailed information on setting up an LLM as a judge, but it includes instructions that seem to be fabricated or not explicitly supported by the Evidently documentation, such as specific code snippets related to setting up an OpenAI API key and using a particular model like 'gpt-4o-mini'. This constitutes hallucination of unprovided features. 

2. The response does not identify that the user’s question could be interpreted as general machine learning setup but provides an extensive guide on implementation, which indicates that it may not appropriately refuse off-topic questions. 

3. While the response mentions installing Evidently and discusses data structures in an organized manner, it uses generic examples instead of clearly stating usage in the context of Evidently Cloud. This is important as users may be confused about deployment. 

4. The structure is formatted well; however, broken symbols or phrases related to how to utilize the product could mislead users. 

Overall, the response fails due to hallucinating features and specific usage not grounded in the documentation, resulting in an answer that is classified as 'bad'."
I want to evaluate my chatbot responses,"To evaluate your chatbot responses using Evidently, you can follow these steps to set up an LLM (Language Model) as your judge for evaluating the quality of responses:

1. **Set Up Your Environment**: Ensure you have the Evidently library installed. Use the following command to install it:
   ```python
   uv add evidently
   ```

2. **Prepare Your Dataset**: Create a DataFrame containing your chatbot's questions and responses. For example:
   ```python
   import pandas as pd
   data = [
       [""What is your name?"", ""I am a chatbot created to assist you.""],
       [""How can I reset my password?"", ""To reset your password, click on 'Forgot Password'.""],
       # Add more question and answer pairs
   ]
   columns = [""question"", ""response""]
   chatbot_df = pd.DataFrame(data, columns=columns)
   ```

3. **Define the Evaluation Criteria**: Set up custom prompts for the LLM to evaluate the responses. For example:
   ```python
   from evidently import Dataset
   from evidently import DataDefinition
   from evidently.descriptors import LLMEval
   from evidently.llm.templates import BinaryClassificationPromptTemplate

   criteria = BinaryClassificationPromptTemplate(
       criteria=""""""The response should accurately answer the user’s question and not provide misleading information."""""",
       target_category=""correct"",
       non_target_category=""incorrect"",
   )
   ```

4. **Run the Evaluation**: Create a dataset object and add your LLM evaluation descriptor:
   ```python
   definition = DataDefinition(text_columns=[""question"", ""response""])
   eval_dataset = Dataset.from_pandas(
       chatbot_df,
       data_definition=definition
   )
   eval_dataset.add_descriptors(descriptors=[
       LLMEval(
           ""response"",
           template=criteria,
           provider=""openai"",
           model=""gpt-4o-mini"",  # Use your desired model
           alias=""Chatbot Evaluation""
       ),
   ])
   ```

5. **Generate and Preview the Report**: After running the evaluation, generate a report to summarize the results:
   ```python
   from evidently import Report
   report = Report([
       TextEvals(columns=[""Chatbot Evaluation""])
   ])

   my_eval = report.run(eval_dataset, None)
   my_eval
   ```
   This will provide you with a preview of how well your chatbot's responses are performing based on the defined criteria.

By following these steps, you can effectively evaluate your chatbot responses using Evidently and refine its performance based on the evaluation results.",good,all good,bad,"1. The response aims to answer the user's question about evaluating chatbot responses, which is relevant and on-topic. However, the agent produces a response that introduces a tool named 'LLMEval' with methods for evaluation that were not described or supported in the available Evidently documentation resources provided. Therefore, the agent hallucinates elements that are not explicitly mentioned, failing to adhere to the strict conditions against inventing or assuming features not found in the documentation.

2. The agent does not explicitly mention or specify that these instructions pertain to 'Evidently Cloud' when discussing the UI components and evaluation methods. This omission is critical, as users could confuse instructions applicable to a different context.

3. The formatting is largely clear and follows markdown practices, but the presence of hallucinated features and lack of specificity regarding Evidently Cloud renders the response fundamentally incorrect.

Overall, while the agent provided instruction aimed toward the user's intent, the response boldly lacks adherence to the core requirements due to hallucinations and omission of critical context about 'Evidently Cloud.' Therefore, the interaction is evaluated as 'bad'."
How do I customize evaluation criteria for my use case?,"To customize evaluation criteria in your project, you can utilize the built-in LLM judges or create your own custom LLM evaluators with specific templates. Here’s a guide on how to do that:

### Using Built-in LLM Judges
Evidently provides built-in evaluators to assess various criteria automatically. You can define what you want to evaluate using the appropriate descriptors, such as `ToxicityLLMEval` or `ContextQualityLLMEval`.

Example code to evaluate responses for toxicity:
```python
from evidently import Dataset
from evidently.descriptors import ToxicityLLMEval

eval_dataset = Dataset.from_pandas(
    eval_df,
    data_definition=DataDefinition(),
)
eval_dataset.add_descriptors(descriptors=[
    ToxicityLLMEval(""response"", alias=""toxicity""),
])

# To view your results
print(eval_dataset.as_dataframe())
``` 

### Creating Custom LLM Evaluators
You can create a custom LLM evaluator by specifying a criteria using the provided templates. Here’s how to do it:

1. **Define Your Criteria** - You can define a criteria either as a binary classification or as a multiclass classification depending on your needs.
   
   For example, to classify questions as ""appropriate"" or ""inappropriate"":
   ```python
   from evidently.llm.templates import BinaryClassificationPromptTemplate
   from evidently.descriptors import LLMEval

   appropriate_scope = BinaryClassificationPromptTemplate(
       criteria=""An appropriate question is any educational query related to academic subjects or skills."",
       target_category=""APPROPRIATE"",
       non_target_category=""INAPPROPRIATE"",
       include_reasoning=True,
   )
   
   llm_evals = Dataset.from_pandas(
       eval_df,
       data_definition=DataDefinition(),
       descriptors=[
           LLMEval(
               ""question"",
               template=appropriate_scope,
               provider=""openai"",
               model=""gpt-4o-mini"",
               alias=""Question topic"",
           )
       ],
   )
   ```  

2. **Run the Evaluator** - Just like with built-in descriptors, you can run your evaluation:
   ```python
   results = llm_evals.as_dataframe()
   ```
   This will yield results based on your defined criteria. 

### Summary
Using these approaches, you can customize the evaluation process to fit your specific use case, whether by leveraging built-in tools or specifying your own criteria using LLM templates. Make sure to explore all available descriptors that facilitate diverse evaluation aspects, enhancing the assessment of your model outputs.",good,,good,"1. The agent's response accurately answers the user's question on customizing evaluation criteria using the provided documentation. 
2. It does not hallucinate integrations or features not present in the Evidently documentation. 
3. The agent refers to using built-in LLM judges and creating custom LLM evaluators appropriately. 
4. The use of code snippets is relevant, structured well, and easy to read with good markdown practices. There are no broken symbols or formatting issues.
5. The response does not mention or imply using an unsupported system or context, and it stays on topic with respect to the Evidently AI documentation. 
Therefore, all criteria for a 'good' response are met."
What metrics are available?,"Evidently offers a variety of metrics to evaluate models across different tasks such as classification, regression, ranking, and recommendations. Here’s a summary of the available metrics:

### 1. **Classification Metrics**
- **Accuracy**  
- **Precision**  
- **Recall**  
- **F1-score**  
- **ROC AUC**  
- **LogLoss**  

These metrics provide insights into the performance of classification models. Additionally, effective visualizations such as confusion matrices and ROC curves support the analysis.

### 2. **Regression Metrics**
- **Mean Error (ME)**  
- **Mean Absolute Error (MAE)**  
- **Mean Absolute Percentage Error (MAPE)**  
- **Root Mean Square Error (RMSE)**  
- **R² Score**  

These metrics help assess how well regression models predict continuous outcomes.

### 3. **Ranking and Recommendation Metrics**
- **Recall at K** (RecallTopK)  
- **Precision at K** (PrecisionTopK)  
- **F-beta Score at K** (FBetaTopK)  
- **Mean Average Precision** (MAP)  
- **Normalized Discounted Cumulative Gain** (NDCG)  
- **Hit Rate**  
- **Mean Reciprocal Rank** (MRR)  

These metrics are crucial for evaluating the quality of retrieval and recommendation systems, giving insights into how effectively they present relevant items to users.

### 4. **Dataset and Data Quality Metrics**
- **Unique Value Count**  
- **Missing Value Count**  
- **Standard Deviation**  
- **Row and Column Counts**  

These metrics enable you to assess data quality, which is essential for effective model performance.

For a more comprehensive evaluation, it is common to use multiple metrics tailored to the specific model and task. You can check each metric’s specific implementation and usage details in the Evidently documentation. 

Overall, utilizing these metrics can significantly aid in systematically assessing and improving your model's performance.",good,,good,"1. The agent's response accurately summarizes the available metrics for classification, regression, ranking/recommendation, and dataset/data quality metrics based on the provided documentation. Therefore, it meets the criterion of accurately and completely answering the user's question using only the provided documentation.

2. The response does not include any irrelevant information or off-topic answers, as it strictly focuses on the metrics related to Evidently AI.

3. The agent appropriately utilized the tools to source the information required to answer the question.

4. The formatting of the response follows good markdown practices, with proper use of headers and list formatting.

There are no broken symbols, hallucinated features, or other inaccuracies present in the agent's response."
How do I measure text length?,"To measure text length in your dataset using Evidently, you can utilize the built-in `TextLength` descriptor. This descriptor evaluates the length of text data (in characters or words) in specified columns of your DataFrame. Here's how you can implement it:

1. **Import the necessary modules.** You will need to import the Dataset and DataDefinition from Evidently, as well as the Report and the TextEvals preset:

```python
from evidently import Dataset
from evidently import DataDefinition
from evidently import Report
from evidently.descriptors import TextLength
from evidently.presets import TextEvals
```

2. **Create your dataset.** Initialize your DataFrame and define which columns are text columns:

```python
# Assuming you already have a DataFrame 'df' with your text data

eval_dataset = Dataset.from_pandas(
    df,
    data_definition=DataDefinition(text_columns=[""answer""]),
    descriptors=[
        TextLength(""answer"", alias=""Length"")
    ]
)
```

3. **Run the report.** After adding the TextLength descriptor, you can run the Report to see the evaluation results that include text length:

```python
report = Report([
    TextEvals(),
])

my_eval = report.run(eval_dataset)
```

4. **Preview the results.** You can view the results of your evaluation including the lengths calculated:

```python
# Display the evaluation results
print(my_eval)
```

By using the `TextLength` descriptor, you can easily measure the length of the texts in the specified columns of your DataFrame, and the report will summarize the findings, including statistics about the text lengths across your dataset.",good,,good,"1. The agent's response accurately answers the user's question about measuring text length, specifically within the context of the Evidently documentation. 2. All provided instructions and code refer explicitly to the usage of Evidently tools without hallucination of unsupported tools or features. 3. The response includes correctly identified components like Dataset, DataDefinition, Report, and the TextLength descriptor that are mentioned in the Evidently documentation, and there are no references to unprovided integrations or features. 4. The format used in the response is clear and structured, with appropriate code formatting and no broken symbols or markdown issues. 
Therefore, since all criteria are met and the response is entirely relevant and accurate in the context of Evidently guidelines, the evaluation label is 'good'."
What's the difference between metrics and descriptors?,"In Evidently, **metrics** and **descriptors** serve distinct purposes but are both crucial for evaluating model performance and data quality.

### Metrics
Metrics are quantitative measures that provide a summary of various characteristics of model performance across datasets. For instance, in a classification context, common metrics include:
- **Accuracy**: The proportion of true results among the total number of cases examined.
- **Precision**: The ratio of correctly predicted positive observations to the total predicted positives.
- **Recall**: The ratio of correctly predicted positive observations to the all actual positives.
- **F1 Score**: The weighted average of Precision and Recall.

These metrics focus on aggregating results across multiple data points to give insights into overall model performance. Here's an example of utilizing a metric in the Evidently library:
```python
from evidently.metrics import MeanValue

mean_value_report = Report([
    MeanValue(column=""some_metric"")
])

model_evaluation = mean_value_report.run(eval_dataset, None)
```  

### Descriptors
Descriptors, on the other hand, are tools used to evaluate individual data entries, providing detailed scores or labels per row of your dataset. Each descriptor computes a specific measurement or score that can be combined to assess the quality of inputs or outputs on a more granular level. For example, you might use descriptors to calculate text characteristics such as sentiment, length, or linguistics properties.

You create descriptors as shown below:
```python
from evidently import Dataset
from evidently.descriptors import Sentiment, TextLength

eval_dataset = Dataset.from_pandas(df)

eval_dataset.add_descriptors(descriptors=[
    Sentiment(""text_column"", alias=""Sentiment Score""),
    TextLength(""text_column"", alias=""Text Length""),
])
```

### Summary
In summary, metrics offer an aggregated view of performance, whereas descriptors provide detailed insights at the level of individual data points. Metrics facilitate high-level evaluation, while descriptors help understand the specific features of inputs or outputs within your analysis.",good,,good,"1. The response accurately explains the difference between metrics and descriptors using the Evidently documentation without hallucinating information. 2. It incorporates appropriate examples of both metrics (like Accuracy, Precision, etc.) and descriptors (like Sentiment, TextLength) specifically related to the Evidently library. 3. The format is structured using headings and bullet points, enhancing readability, and it follows good markdown practices. 4. The examples provided do not include any unsupported tools or features outside of what is presented in the Evidently documentation.   Therefore, it meets all criteria for a good response. Overall, the agent response is accurate, clear, well-formatted, and relevant to the user’s question, leading to a classification of ""good""."
How do I add a scoring function?,"To add a scoring function in Evidently, you can implement it as a custom function. This allows you to create your own programmatic evaluators to score different aspects of your data.

### Steps to Create a Custom Scoring Function:
1. **Import Required Libraries**
   First, ensure you import the necessary libraries:
   ```python
   import pandas as pd
   from evidently import Dataset, DataDefinition
   from evidently.core.datasets import DatasetColumn
   from evidently.descriptors import CustomColumnDescriptor, CustomDescriptor
   ```

2. **Define Your Scoring Function**  
   Create a scoring function that takes a `DatasetColumn` as input and returns a `DatasetColumn` with the scores. For example, to define a function that checks if values in a column are empty:
   ```python
   def is_empty(data: DatasetColumn) -> DatasetColumn:
       return DatasetColumn(
           type=""cat"",
           data=pd.Series([
               ""EMPTY"" if val == """" else ""NON EMPTY""
               for val in data.data]))
   ```

3. **Add the Custom Descriptor**  
   Use the scoring function with a `CustomColumnDescriptor` to evaluate your data. Here's how to add it to your evaluation:
   ```python
   eval_df.add_descriptors(descriptors=[
       CustomColumnDescriptor(""column_name"", is_empty, alias=""is_empty""),
   ])
   ```
   Replace `column_name` with the actual name of the column you want to evaluate.

4. **Publish the Results**  
   After adding your descriptors, you can publish the results to a DataFrame:
   ```python
   eval_df.as_dataframe()
   ```

### Example of Multi-Column Check
If you want to run a scoring evaluation across multiple columns, you can use a `CustomDescriptor`. For instance, to check if the values in two columns match:
```python

def exact_match(dataset: Dataset) -> DatasetColumn:
    return DatasetColumn(
        type=""cat"",
        data=pd.Series([
            ""MATCH"" if val else ""MISMATCH""
            for val in dataset.column(""column1"").data == dataset.column(""column2"").data]))
```  
To add this descriptor:
```python

 eval_df.add_descriptors(descriptors=[
    CustomDescriptor(exact_match, alias=""exact""),
])
```

By following these steps, you can effectively create and integrate custom scoring functions tailored to your specific evaluation needs.",good,,good,"1. The response provides a detailed step-by-step guide on how to add a scoring function in Evidently, which precisely answers the user's question.   
2. The response exclusively references the Evidently documentation context and does not introduce any unsupported integrations or tools that are not mentioned.  
3. The explanation involves programming concepts and libraries relevant to Evidently's framework, aligning with the specificity expected from the documentation.   
4. The agent did not mention anything vague like 'UI' or 'dashboard', which would have required explicit mention of 'Evidently Cloud'—however, since the question pertains to programming, this is not applicable.  
5. The markdown formatting is clear, with code snippets properly formatted and no broken symbols, enhancing readability overall.  
6. There are no factual inaccuracies or hallucinated features.  

Overall, the agent provided a complete and accurate response to the user's question about adding a scoring function."
How do I export a report as HTML?,"To export a report as HTML in Evidently, you can follow these steps after generating the report:

1. Ensure you have the necessary imports to create a report:
   ```python
   from evidently import Report
   from evidently.metrics import *
   from evidently.presets import *
   ```

2. Create your report using a preset or custom metrics. Here’s how you can generate a simple report:
   ```python
   report = Report([
       DataSummaryPreset()
   ])
   my_eval = report.run(eval_data_1, None)
   ```

3. To save the report as an HTML file, you can use the `save_html` method as shown below:
   ```python
   my_report.save_html(""file.html"")
   ```
   This command will create an HTML file named `file.html` that contains your report, which you can then open in a web browser or share with others.

By following these steps, you should be able to successfully export your report as an HTML file.",good,,bad,"1. The agent accurately addresses the user's question about exporting a report as HTML by providing a clear step-by-step guide. This aligns with the criteria of accurately answering the question using the provided documentation.

2. The entire response relates directly to the task of exporting reports in Evidently, and therefore does not contain off-topic information. 

3. The agent has not mentioned 'Evidently Cloud' in connection with the UI instructions, as the focus is on the coding level instructions instead. However, good consideration of the provided documentation is shown.

4. There are no broken symbols, formatting issues, or hallucinated features in the response. The code examples provided are coherent and syntactically correct.

Overall, the response is informative and relevant to the user's query; however, the lack of mentioning 'Evidently Cloud' when discussing UI-related information is a significant issue."
How do I save my results as a PDF?,"To save your results as a PDF in Evidently, you can follow these general steps for exporting your reports:

1. **Generate Your Evaluation Report**:
   First, ensure you have run your evaluation and have a report generated. For instance:
   ```python
   report = Report([
       TextEvals()
   ])
   my_eval = report.run(eval_dataset, None)
   ```

2. **Save to HTML**: 
   You can save the report as an HTML file, which is often a common format to then convert into a PDF. Use the following command:
   ```python
   my_eval.save_html(""report.html"")
   ```

3. **Convert HTML to PDF**: 
   While the direct PDF saving method isn't specified in the Evidently documentation, you can convert the saved HTML file to PDF using tools like `pdfkit` or `WeasyPrint` in Python, or you could use an online conversion tool or browser print to PDF function. 

   For example, if using `pdfkit`:
   ```python
   import pdfkit
   pdfkit.from_file('report.html', 'report.pdf')
   ```

4. **Directly Access Your Reports**: 
   Alternatively, if you are using the Evidently Cloud, you can access your reports directly in the platform from the ""Reports"" section and may have options to download them in multiple formats, though PDF is not directly mentioned in the docs.",bad,"the pdf conversion is not based on the actual documents - it should say ""own knowledge"" for cases where it used its own knowledge intead of source docs ",bad,"1. The response attempts to answer the user's question regarding saving results as a PDF, but it does not accurately reflect the tools and features explicitly mentioned in the Evidently AI documentation. It suggests converting HTML to PDF using third-party tools, which is not part of the provided documentation. This constitutes hallucination of features not outlined in the docs.
2. The response does not explicitly refuse to answer potential general questions outside the Evidently scope, but it remains focused on the user's question.
3. The agent mentions accessing reports on the 'Evidently Cloud', which is positive. But it fails to keep the entire response within the framework provided by Evidently documentation.
4. Overall, the response does not fully comply with the requirement of using only the Evidently documentation as it introduces unverified external tools and methods.

Therefore, the performance of the agent can be classified as bad."
How do I add a panel to my dashboard?,"To add a panel to your dashboard, you can do this using the user interface or the Python API. Here’s how to do it in both ways:

### Using the User Interface
1. Enter ""Edit"" mode on the Dashboard (click on the button in the top right corner).
2. Click on the ""Add Panel"" button.
3. Follow the prompts to configure the panel:
   - Select Metrics that match the names of the Evidently Metrics logged in your Reports.
   - Optionally apply filters based on Tags or Metric labels if necessary.
   - Set the type of panel you want (e.g., pie chart, line plot) and aggregation (sum, average, or last).
4. Review the setup in the preview and click ""Save"".
5. Select the Tab where you want to add the Panel.

Example Configuration in UI:
![Panel Configuration](https://link-to-your-panel-config-image.png)

### Using the Python API
You can also use the Evidently SDK to programmatically add a panel. Here’s an example to add a simple row count counter to a specific tab:

```python
from evidently.sdk.models import PanelMetric
from evidently.sdk.panels import DashboardPanelPlot

project.dashboard.add_panel(
    DashboardPanelPlot(
        title=""Row count"",
        subtitle=""Total number of evaluations over time."",
        size=""half"",
        values=[PanelMetric(legend=""Row count"", metric=""RowCount"")],
        plot_params={""plot_type"": ""counter"", ""aggregation"": ""sum""},
    ),
    tab=""My tab"",
)
```

For more panel types, you can adjust the `plot_type` and the `metric` as needed.",bad,"And so the agent didn't say that the example UI for evidently cloud which was confusing to me because I didn't know which UI it was talking about, image is broken",bad,"The agent's response outlines how to add a panel to the dashboard using both the user interface and the Python API. However, it fails a significant criterion: it does not explicitly mention 'Evidently Cloud' when referring to the dashboard's user interface, which is necessary when discussing UI interactions. Additionally, the agent includes an example image link in the response, with the link being non-functional (as it is a placeholder), which contributes to a lack of clarity and usability. These omissions and inaccuracies in following the specific terms from the documentation make the response insufficient. Therefore, it does not meet the standards to be labeled as 'good' under the strict evaluation criteria provided. Overall, this would classify as a 'bad' response due to these failures."
