question,summary_answer,difficulty,intent,filename
how to create a Dataset object in Evidently,"To create a `Dataset` object, use `Dataset.from_pandas()` and pass your data along with a `DataDefinition` object to specify column types and roles.",beginner,code,docs/library/data_definition.mdx
Evidently DataDefinition examples,"The `DataDefinition` allows users to specify mappings for column types like numerical, categorical, and text to ensure proper data evaluations in Evidently.",beginner,code,docs/library/data_definition.mdx
difference between numerical and categorical columns in Evidently,"Numerical columns contain numeric values used for calculations, while categorical columns represent discrete categories or groups, each serving different roles in data evaluations.",intermediate,text,docs/library/data_definition.mdx
how to manually map columns in DataDefinition,"You can manually map columns in `DataDefinition` by specifying each column in its respective category, such as `numerical_columns` or `text_columns`, instead of relying on automatic mapping.",intermediate,code,docs/library/data_definition.mdx
example of mapping regression columns in Evidently,"To map regression columns, define the target and prediction columns in `DataDefinition` using `Regression(target='y_true', prediction='y_pred')` for example.",intermediate,code,docs/library/data_definition.mdx
automatically mapping columns in Evidently,"You can map columns automatically by passing an empty `DataDefinition()` to `Dataset.from_pandas()`, allowing Evidently to infer column types and roles based on their names and data types.",beginner,code,docs/library/data_definition.mdx
role of ID and timestamp columns in data definition,"ID columns serve as unique identifiers ignored in calculations, while timestamp columns track when data entries are recorded, also ignored in some evaluations like drift detection.",intermediate,text,docs/library/data_definition.mdx
importance of text column mapping in Evidently,"Mapping text columns in `DataDefinition` is crucial for analyses like text data drift detection. Without it, the system may not accurately process those columns during evaluations.",intermediate,text,docs/library/data_definition.mdx
Evidently DataDefinition for multiclass classification,"For multiclass classification in `DataDefinition`, use `MulticlassClassification` to specify target, prediction labels, and optionally, prediction probabilities and display labels.",advanced,code,docs/library/data_definition.mdx
using pandas.DataFrame directly in Evidently,"You can pass a `pandas.DataFrame` directly into `report.run()` for quick checks, but creating a `Dataset` object is recommended for more controlled evaluations.",intermediate,code,docs/library/data_definition.mdx
data requirements for different evaluations in Evidently,Each evaluation type in Evidently has specific column type and mapping requirements; consult the reference table for these data needs based on the evaluation you intend to run.,beginner,text,docs/library/data_definition.mdx
